Common Name,Scientific Name,Class,Order,IUCN Status,Population Trend,Population Estimate,Primary Threat,Secondary Threat,Habitat,Region,Country,Endemic,Last Assessed
Leadbeater's Possum,Gymnobelideus leadbeateri,Mammalia,Diprotodontia,Critically Endangered,Decreasing,~2500,Logging,Climate change,Temperate forest,Oceania,Australia,Yes,2016
Numbat,Myrmecobius fasciatus,Mammalia,Dasyuromorphia,Near Threatened,Increasing,~2000,Invasive species,Habitat loss,Shrubland,Oceania,Australia,Yes,2025
Gilbert's Potoroo,Potorous gilbertii,Mammalia,Diprotodontia,Critically Endangered,Stable,<100,Invasive species,Habitat loss,Shrubland,Oceania,Australia,Yes,2016
Matschie's Tree Kangaroo,Dendrolagus matschiei,Mammalia,Diprotodontia,Endangered,Decreasing,Unknown,Hunting,Habitat loss,Tropical forest,Oceania,Papua New Guinea,Yes,2016
Western Long-beaked Echidna,Zaglossus bruijnii,Mammalia,Monotremata,Critically Endangered,Decreasing,Unknown,Hunting,Habitat loss,Tropical forest,Oceania,Indonesia,Yes,2015
Ili Pika,Ochotona iliensis,Mammalia,Lagomorpha,Endangered,Decreasing,<1000,Climate change,Habitat loss,Montane,Asia,China,Yes,2016
Riverine Rabbit,Bunolagus monticularis,Mammalia,Lagomorpha,Critically Endangered,Decreasing,<250,Habitat loss,Agriculture,Shrubland,Africa,South Africa,Yes,2018
Amami Rabbit,Pentalagus furnessi,Mammalia,Lagomorpha,Endangered,Decreasing,Unknown,Invasive species,Habitat loss,Tropical forest,Asia,Japan,Yes,2016
Volcano Rabbit,Romerolagus diazi,Mammalia,Lagomorpha,Endangered,Decreasing,<7000,Habitat loss,Hunting,Montane forest,North America,Mexico,Yes,2019
Hispid Hare,Caprolagus hispidus,Mammalia,Lagomorpha,Endangered,Decreasing,<2500,Habitat loss,Agriculture,Grassland,Asia,India; Nepal; Bhutan,No,2019
Kitti's Hog-nosed Bat,Craseonycteris thonglongyai,Mammalia,Chiroptera,Near Threatened,Decreasing,Unknown,Habitat loss,Hunting,Caves,Asia,Thailand; Myanmar,Yes,2019
Indiana Bat,Myotis sodalis,Mammalia,Chiroptera,Near Threatened,Decreasing,~530000,Disease,Habitat loss,Caves,North America,USA,Yes,2018
Bulmer's Fruit Bat,Aproteles bulmerae,Mammalia,Chiroptera,Critically Endangered,Decreasing,<160,Hunting,Habitat loss,Caves,Oceania,Papua New Guinea,Yes,2020
Rodrigues Flying Fox,Pteropus rodricensis,Mammalia,Chiroptera,Endangered,Increasing,~20000,Habitat loss,Climate change,Tropical forest,Africa,Mauritius,Yes,2018
Livingstone's Fruit Bat,Pteropus livingstonii,Mammalia,Chiroptera,Critically Endangered,Decreasing,<1300,Deforestation,Climate change,Tropical forest,Africa,Comoros,Yes,2019
Christmas Island Flying Fox,Pteropus natalis,Mammalia,Chiroptera,Critically Endangered,Decreasing,<1500,Invasive species,Habitat loss,Tropical forest,Oceania,Australia,Yes,2017
Kakapo,Strigops habroptila,Aves,Psittaciformes,Critically Endangered,Increasing,~247,Invasive species,Disease,Temperate forest,Oceania,New Zealand,Yes,2021
California Condor,Gymnogyps californianus,Aves,Cathartiformes,Critically Endangered,Increasing,~560,Pollution,Hunting,Shrubland,North America,USA; Mexico,Yes,2020
Philippine Eagle,Pithecophaga jefferyi,Aves,Accipitriformes,Critically Endangered,Decreasing,~400,Deforestation,Hunting,Tropical forest,Asia,Philippines,Yes,2016
Harpy Eagle,Harpia harpyja,Aves,Accipitriformes,Vulnerable,Decreasing,Unknown,Deforestation,Hunting,Tropical forest,South America,Brazil; Panama; Peru,Yes,2021
Steller's Sea Eagle,Haliaeetus pelagicus,Aves,Accipitriformes,Vulnerable,Decreasing,~4000,Habitat loss,Pollution,Marine - coastal,Asia,Russia; Japan,Yes,2018
Madagascar Fish Eagle,Haliaeetus vociferoides,Aves,Accipitriformes,Critically Endangered,Decreasing,~250,Habitat loss,Hunting,Wetland,Africa,Madagascar,Yes,2018
Whooping Crane,Grus americana,Aves,Gruiformes,Endangered,Increasing,~540,Habitat loss,Hunting,Wetland,North America,USA; Canada,Yes,2020
Siberian Crane,Leucogeranus leucogeranus,Aves,Gruiformes,Critically Endangered,Decreasing,3500-4000,Habitat loss,Hunting,Wetland,Asia,Russia; China,No,2020
Red-crowned Crane,Grus japonensis,Aves,Gruiformes,Vulnerable,Decreasing,~2800,Habitat loss,Agriculture,Wetland,Asia,Japan; China; Russia,No,2021
Sarus Crane,Antigone antigone,Aves,Gruiformes,Vulnerable,Decreasing,15000-20000,Habitat loss,Pollution,Wetland,Asia,India; Nepal; Australia,No,2016
Great Indian Bustard,Ardeotis nigriceps,Aves,Otidiformes,Critically Endangered,Decreasing,<150,Habitat loss,Agriculture,Grassland,Asia,India,Yes,2018
Bengal Florican,Houbaropsis bengalensis,Aves,Otidiformes,Critically Endangered,Decreasing,<1000,Habitat loss,Agriculture,Grassland,Asia,India; Cambodia; Nepal,No,2018
Lesser Florican,Sypheotides indicus,Aves,Otidiformes,Critically Endangered,Decreasing,<1000,Habitat loss,Agriculture,Grassland,Asia,India,Yes,2021
Spoon-billed Sandpiper,Calidris pygmaea,Aves,Charadriiformes,Critically Endangered,Decreasing,490-1000,Habitat loss,Hunting,Wetland,Asia,Russia; Myanmar; Bangladesh,No,2022
Slender-billed Curlew,Numenius tenuirostris,Aves,Charadriiformes,Critically Endangered,Decreasing,0 (possibly extinct),Hunting,Habitat loss,Wetland,Europe,Russia; Morocco,No,2021
Sociable Lapwing,Vanellus gregarius,Aves,Charadriiformes,Critically Endangered,Decreasing,~11200,Habitat loss,Hunting,Grassland,Asia,Kazakhstan; Russia; India,No,2021
Chinese Crested Tern,Thalasseus bernsteini,Aves,Charadriiformes,Critically Endangered,Increasing,<100,Habitat loss,Hunting,Marine - coastal,Asia,China; South Korea,No,2018
Christmas Island Frigatebird,Fregata andrewsi,Aves,Suliformes,Critically Endangered,Decreasing,2400-4800,Habitat loss,Invasive species,Marine - coastal,Asia,Australia,Yes,2018
Waved Albatross,Phoebastria irrorata,Aves,Procellariiformes,Critically Endangered,Decreasing,~50000,Bycatch,Climate change,Marine - open ocean,South America,Ecuador,Yes,2018
Tristan Albatross,Diomedea dabbenena,Aves,Procellariiformes,Critically Endangered,Decreasing,~3400,Invasive species,Bycatch,Marine - open ocean,Africa,United Kingdom,Yes,2018
Amsterdam Albatross,Diomedea amsterdamensis,Aves,Procellariiformes,Endangered,Increasing,~170,Bycatch,Disease,Marine - open ocean,Africa,France,Yes,2018
Wandering Albatross,Diomedea exulans,Aves,Procellariiformes,Vulnerable,Decreasing,~20100,Bycatch,Pollution,Marine - open ocean,Antarctic,Southern Ocean,No,2018
Northern Bald Ibis,Geronticus eremita,Aves,Pelecaniformes,Endangered,Increasing,~700,Habitat loss,Hunting,Shrubland,Africa,Morocco; Syria,No,2018
Giant Ibis,Thaumatibis gigantea,Aves,Pelecaniformes,Critically Endangered,Decreasing,<200,Habitat loss,Hunting,Wetland,Asia,Cambodia,Yes,2018
White-shouldered Ibis,Pseudibis davisoni,Aves,Pelecaniformes,Critically Endangered,Decreasing,<400,Habitat loss,Hunting,Wetland,Asia,Cambodia; Indonesia,No,2018
Shoebill,Balaeniceps rex,Aves,Pelecaniformes,Vulnerable,Decreasing,5000-8000,Habitat loss,Illegal wildlife trade,Wetland,Africa,Uganda; South Sudan; Zambia,Yes,2020
Indian Vulture,Gyps indicus,Aves,Accipitriformes,Critically Endangered,Decreasing,~30000,Pollution,Habitat loss,Grassland,Asia,India; Pakistan,No,2021
White-rumped Vulture,Gyps bengalensis,Aves,Accipitriformes,Critically Endangered,Decreasing,~10000,Pollution,Habitat loss,Grassland,Asia,India; Nepal; Bangladesh,No,2021
Slender-billed Vulture,Gyps tenuirostris,Aves,Accipitriformes,Critically Endangered,Decreasing,~1000,Pollution,Habitat loss,Grassland,Asia,India; Nepal; Myanmar,No,2021
Red-headed Vulture,Sarcogyps calvus,Aves,Accipitriformes,Critically Endangered,Decreasing,<3500,Pollution,Habitat loss,Savanna,Asia,India; Nepal; Cambodia,No,2021
Egyptian Vulture,Neophron percnopterus,Aves,Accipitriformes,Endangered,Decreasing,12000-38000,Pollution,Hunting,Desert,Africa,Spain; India; Ethiopia,No,2021
Hooded Vulture,Necrosyrtes monachus,Aves,Accipitriformes,Critically Endangered,Decreasing,~197000,Poaching,Pollution,Savanna,Africa,Nigeria; Senegal; Kenya,Yes,2021
White-backed Vulture,Gyps africanus,Aves,Accipitriformes,Critically Endangered,Decreasing,~270000,Poaching,Pollution,Savanna,Africa,Kenya; Tanzania; Botswana,Yes,2021
Spix's Macaw,Cyanopsitta spixii,Aves,Psittaciformes,Extinct in the Wild,Stable,0 (wild),Habitat loss,Illegal wildlife trade,Shrubland,South America,Brazil,Yes,2019
Hyacinth Macaw,Anodorhynchus hyacinthinus,Aves,Psittaciformes,Vulnerable,Decreasing,~4300,Illegal wildlife trade,Habitat loss,Tropical forest,South America,Brazil; Bolivia; Paraguay,Yes,2021
Blue-throated Macaw,Ara glaucogularis,Aves,Psittaciformes,Critically Endangered,Increasing,~455,Illegal wildlife trade,Habitat loss,Savanna,South America,Bolivia,Yes,2020
Great Green Macaw,Ara ambiguus,Aves,Psittaciformes,Critically Endangered,Decreasing,<1000,Deforestation,Illegal wildlife trade,Tropical forest,Central America,Costa Rica; Ecuador; Panama,Yes,2020
Kea,Nestor notabilis,Aves,Psittaciformes,Endangered,Decreasing,3000-7000,Invasive species,Human-wildlife conflict,Montane,Oceania,New Zealand,Yes,2017
Grey Parrot,Psittacus erithacus,Aves,Psittaciformes,Endangered,Decreasing,Unknown,Illegal wildlife trade,Deforestation,Tropical forest,Africa,Cameroon; DR Congo; Ghana,Yes,2018
Yellow-crested Cockatoo,Cacatua sulphurea,Aves,Psittaciformes,Critically Endangered,Decreasing,<2500,Illegal wildlife trade,Deforestation,Tropical forest,Asia,Indonesia,Yes,2018
Orange-bellied Parrot,Neophema chrysogaster,Aves,Psittaciformes,Critically Endangered,Decreasing,<50 (wild),Habitat loss,Disease,Shrubland,Oceania,Australia,Yes,2021
Swift Parrot,Lathamus discolor,Aves,Psittaciformes,Critically Endangered,Decreasing,<750,Logging,Invasive species,Temperate forest,Oceania,Australia,Yes,2021
Puerto Rican Amazon,Amazona vittata,Aves,Psittaciformes,Critically Endangered,Increasing,~600,Habitat loss,Disease,Tropical forest,North America,USA,Yes,2020
Kagu,Rhynochetos jubatus,Aves,Gruiformes,Endangered,Increasing,~1000,Invasive species,Habitat loss,Tropical forest,Oceania,New Caledonia,Yes,2016
Takahe,Porphyrio hochstetteri,Aves,Gruiformes,Endangered,Increasing,~500,Invasive species,Habitat loss,Grassland,Oceania,New Zealand,Yes,2020
Guam Rail,Hypotaenidia owstoni,Aves,Gruiformes,Critically Endangered,Increasing,~200,Invasive species,Habitat loss,Grassland,Oceania,Guam,Yes,2019
Hawaiian Crow,Corvus hawaiiensis,Aves,Passeriformes,Extinct in the Wild,Stable,0 (wild),Disease,Habitat loss,Tropical forest,Oceania,USA,Yes,2018
Guam Kingfisher,Todiramphus cinnamominus,Aves,Coraciiformes,Extinct in the Wild,Stable,0 (wild),Invasive species,Habitat loss,Tropical forest,Oceania,Guam,Yes,2021
Regent Honeyeater,Anthochaera phrygia,Aves,Passeriformes,Critically Endangered,Decreasing,<350,Habitat loss,Agriculture,Temperate forest,Oceania,Australia,Yes,2021
Helmeted Honeyeater,Lichenostomus melanops cassidix,Aves,Passeriformes,Critically Endangered,Increasing,~250,Habitat loss,Climate change,Temperate forest,Oceania,Australia,Yes,2016
Bali Myna,Leucopsar rothschildi,Aves,Passeriformes,Critically Endangered,Increasing,<50 (wild),Illegal wildlife trade,Habitat loss,Tropical forest,Asia,Indonesia,Yes,2018
Java Sparrow,Padda oryzivora,Aves,Passeriformes,Endangered,Decreasing,Unknown,Illegal wildlife trade,Agriculture,Grassland,Asia,Indonesia,Yes,2018
Yellow-breasted Bunting,Emberiza aureola,Aves,Passeriformes,Critically Endangered,Decreasing,Unknown,Hunting,Habitat loss,Grassland,Asia,China; Russia; Mongolia,No,2017
Akikiki,Oreomystis bairdi,Aves,Passeriformes,Critically Endangered,Decreasing,<5,Disease,Invasive species,Tropical forest,Oceania,USA,Yes,2021
Akekee,Loxops caeruleirostris,Aves,Passeriformes,Critically Endangered,Decreasing,<100,Disease,Invasive species,Tropical forest,Oceania,USA,Yes,2021
Palila,Loxioides bailleui,Aves,Passeriformes,Critically Endangered,Decreasing,<1000,Invasive species,Habitat loss,Montane forest,Oceania,USA,Yes,2020
Kirtland's Warbler,Setophaga kirtlandii,Aves,Passeriformes,Near Threatened,Increasing,~4500,Habitat loss,Invasive species,Temperate forest,North America,USA; Bahamas,No,2020
Cebu Flowerpecker,Dicaeum quadricolor,Aves,Passeriformes,Critically Endangered,Decreasing,<100,Deforestation,Habitat loss,Tropical forest,Asia,Philippines,Yes,2020
Rufous-headed Hornbill,Rhabdotorrhinus waldeni,Aves,Bucerotiformes,Critically Endangered,Decreasing,<1000,Deforestation,Hunting,Tropical forest,Asia,Philippines,Yes,2020
Helmeted Hornbill,Rhinoplax vigil,Aves,Bucerotiformes,Critically Endangered,Decreasing,Unknown,Poaching,Deforestation,Tropical forest,Asia,Indonesia; Malaysia; Thailand,Yes,2018
Great Hornbill,Buceros bicornis,Aves,Bucerotiformes,Vulnerable,Decreasing,Unknown,Deforestation,Hunting,Tropical forest,Asia,India; Thailand; Indonesia,No,2020
Northern Rockhopper Penguin,Eudyptes moseleyi,Aves,Sphenisciformes,Endangered,Decreasing,~413000,Climate change,Overfishing,Marine - coastal,Africa,United Kingdom; South Africa,No,2020
African Penguin,Spheniscus demersus,Aves,Sphenisciformes,Critically Endangered,Decreasing,~19800,Overfishing,Climate change,Marine - coastal,Africa,South Africa; Namibia,Yes,2024
Galapagos Penguin,Spheniscus mendiculus,Aves,Sphenisciformes,Endangered,Decreasing,~1200,Climate change,Invasive species,Marine - coastal,South America,Ecuador,Yes,2020
Yellow-eyed Penguin,Megadyptes antipodes,Aves,Sphenisciformes,Endangered,Decreasing,2500-3500,Disease,Bycatch,Marine - coastal,Oceania,New Zealand,Yes,2020
Emperor Penguin,Aptenodytes forsteri,Aves,Sphenisciformes,Near Threatened,Decreasing,~256500,Climate change,Overfishing,Antarctic,Antarctic,Antarctica,Yes,2020
Secretarybird,Sagittarius serpentarius,Aves,Accipitriformes,Endangered,Decreasing,6700-67000,Habitat loss,Agriculture,Savanna,Africa,Kenya; South Africa; Senegal,Yes,2020
Baer's Pochard,Aythya baeri,Aves,Anseriformes,Critically Endangered,Decreasing,<1000,Habitat loss,Hunting,Wetland,Asia,China; Russia,No,2021
Madagascar Pochard,Aythya innotata,Aves,Anseriformes,Critically Endangered,Stable,<100,Habitat loss,Invasive species,Freshwater lake,Africa,Madagascar,Yes,2018
Forest Owlet,Athene blewitti,Aves,Strigiformes,Endangered,Decreasing,<1000,Deforestation,Hunting,Tropical forest,Asia,India,Yes,2018
Blakiston's Fish Owl,Ketupa blakistoni,Aves,Strigiformes,Endangered,Decreasing,1500-3750,Habitat loss,Dams,Temperate forest,Asia,Russia; Japan; China,No,2020
Rufous Fishing Owl,Scotopelia ussheri,Aves,Strigiformes,Endangered,Decreasing,Unknown,Deforestation,Habitat loss,Tropical forest,Africa,Liberia; Sierra Leone,Yes,2020
Blue-eyed Ground Dove,Columbina cyanopis,Aves,Columbiformes,Critically Endangered,Stable,<20,Habitat loss,Agriculture,Savanna,South America,Brazil,Yes,2020
Pink Pigeon,Nesoenas mayeri,Aves,Columbiformes,Endangered,Stable,~470,Invasive species,Habitat loss,Tropical forest,Africa,Mauritius,Yes,2021
Hawksbill Turtle,Eretmochelys imbricata,Reptilia,Testudines,Critically Endangered,Decreasing,Unknown,Illegal wildlife trade,Habitat loss,Coral reef,Worldwide,Worldwide,No,2008
Kemp's Ridley Turtle,Lepidochelys kempii,Reptilia,Testudines,Critically Endangered,Decreasing,~22000 nesting females,Bycatch,Habitat loss,Marine - coastal,North America,Mexico; USA,No,2019
Leatherback Turtle,Dermochelys coriacea,Reptilia,Testudines,Vulnerable,Decreasing,Unknown,Bycatch,Climate change,Marine - open ocean,Worldwide,Worldwide,No,2013
Loggerhead Turtle,Caretta caretta,Reptilia,Testudines,Vulnerable,Decreasing,Unknown,Bycatch,Habitat loss,Marine - coastal,Worldwide,Worldwide,No,2017
Olive Ridley Turtle,Lepidochelys olivacea,Reptilia,Testudines,Vulnerable,Decreasing,Unknown,Bycatch,Habitat loss,Marine - coastal,Worldwide,Worldwide,No,2008
Yangtze Giant Softshell Turtle,Rafetus swinhoei,Reptilia,Testudines,Critically Endangered,Decreasing,<5,Habitat loss,Hunting,Freshwater river,Asia,China; Vietnam,No,2021
Ploughshare Tortoise,Astrochelys yniphora,Reptilia,Testudines,Critically Endangered,Decreasing,<100,Illegal wildlife trade,Habitat loss,Shrubland,Africa,Madagascar,Yes,2008
Radiated Tortoise,Astrochelys radiata,Reptilia,Testudines,Critically Endangered,Decreasing,Unknown,Illegal wildlife trade,Hunting,Shrubland,Africa,Madagascar,Yes,2008
Burmese Roofed Turtle,Batagur trivittata,Reptilia,Testudines,Critically Endangered,Increasing,<10 (wild),Habitat loss,Hunting,Freshwater river,Asia,Myanmar,Yes,2019
Northern River Terrapin,Batagur baska,Reptilia,Testudines,Critically Endangered,Decreasing,<100,Hunting,Habitat loss,Freshwater river,Asia,Bangladesh; India,No,2019
Red-crowned Roofed Turtle,Batagur kachuga,Reptilia,Testudines,Critically Endangered,Decreasing,<500,Dams,Pollution,Freshwater river,Asia,India; Nepal,No,2019
Chinese Three-striped Box Turtle,Cuora trifasciata,Reptilia,Testudines,Critically Endangered,Decreasing,Unknown,Illegal wildlife trade,Habitat loss,Freshwater river,Asia,China; Vietnam,No,2020
Big-headed Turtle,Platysternon megacephalum,Reptilia,Testudines,Critically Endangered,Decreasing,Unknown,Illegal wildlife trade,Habitat loss,Freshwater river,Asia,China; Vietnam; Laos,No,2020
Espanola Giant Tortoise,Chelonoidis hoodensis,Reptilia,Testudines,Critically Endangered,Increasing,~3000,Invasive species,Habitat loss,Shrubland,South America,Ecuador,Yes,2016
Indian Star Tortoise,Geochelone elegans,Reptilia,Testudines,Vulnerable,Decreasing,Unknown,Illegal wildlife trade,Habitat loss,Shrubland,Asia,India; Sri Lanka; Pakistan,No,2016
Egyptian Tortoise,Testudo kleinmanni,Reptilia,Testudines,Critically Endangered,Decreasing,<10000,Habitat loss,Illegal wildlife trade,Desert,Africa,Egypt; Libya,Yes,2019
Gharial,Gavialis gangeticus,Reptilia,Crocodylia,Critically Endangered,Increasing,~650,Habitat loss,Bycatch,Freshwater river,Asia,India; Nepal,No,2019
Chinese Alligator,Alligator sinensis,Reptilia,Crocodylia,Critically Endangered,Stable,<150,Habitat loss,Pollution,Wetland,Asia,China,Yes,2018
Philippine Crocodile,Crocodylus mindorensis,Reptilia,Crocodylia,Critically Endangered,Decreasing,<100,Habitat loss,Hunting,Wetland,Asia,Philippines,Yes,2016
Cuban Crocodile,Crocodylus rhombifer,Reptilia,Crocodylia,Critically Endangered,Decreasing,~4000,Hunting,Invasive species,Wetland,North America,Cuba,Yes,2008
Siamese Crocodile,Crocodylus siamensis,Reptilia,Crocodylia,Critically Endangered,Decreasing,<1000,Habitat loss,Hunting,Wetland,Asia,Cambodia; Laos; Vietnam,No,2012
Orinoco Crocodile,Crocodylus intermedius,Reptilia,Crocodylia,Critically Endangered,Decreasing,<250,Hunting,Habitat loss,Freshwater river,South America,Venezuela; Colombia,Yes,2018
Komodo Dragon,Varanus komodoensis,Reptilia,Squamata,Endangered,Decreasing,~1380,Climate change,Habitat loss,Shrubland,Asia,Indonesia,Yes,2021
Blue Iguana,Cyclura lewisi,Reptilia,Squamata,Endangered,Increasing,~750,Habitat loss,Invasive species,Shrubland,North America,Cayman Islands,Yes,2012
Jamaican Iguana,Cyclura collei,Reptilia,Squamata,Critically Endangered,Increasing,<300,Invasive species,Habitat loss,Tropical forest,North America,Jamaica,Yes,2019
Marine Iguana,Amblyrhynchus cristatus,Reptilia,Squamata,Vulnerable,Unknown,200000-300000,Invasive species,Climate change,Marine - coastal,South America,Ecuador,Yes,2020
Round Island Boa,Casarea dussumieri,Reptilia,Squamata,Endangered,Stable,~1000,Habitat loss,Invasive species,Shrubland,Africa,Mauritius,Yes,2017
Antiguan Racer,Alsophis antiguae,Reptilia,Squamata,Critically Endangered,Increasing,~1100,Invasive species,Habitat loss,Shrubland,North America,Antigua and Barbuda,Yes,2021
King Cobra,Ophiophagus hannah,Reptilia,Squamata,Vulnerable,Decreasing,Unknown,Deforestation,Hunting,Tropical forest,Asia,India; Thailand; Indonesia,No,2011
Chinese Cobra,Naja atra,Reptilia,Squamata,Vulnerable,Decreasing,Unknown,Illegal wildlife trade,Habitat loss,Shrubland,Asia,China; Vietnam,No,2011
Aruba Island Rattlesnake,Crotalus unicolor,Reptilia,Squamata,Critically Endangered,Decreasing,<250,Habitat loss,Hunting,Shrubland,South America,Aruba,Yes,2019
Psychedelic Rock Gecko,Cnemaspis psychedelica,Reptilia,Squamata,Endangered,Decreasing,<500,Illegal wildlife trade,Habitat loss,Tropical forest,Asia,Vietnam,Yes,2016
Bermuda Skink,Plestiodon longirostris,Reptilia,Squamata,Critically Endangered,Decreasing,<3000,Invasive species,Habitat loss,Shrubland,North America,Bermuda,Yes,2016
Tuatara,Sphenodon punctatus,Reptilia,Rhynchocephalia,Least Concern,Stable,~100000,Invasive species,Climate change,Shrubland,Oceania,New Zealand,Yes,2019
Chinese Giant Salamander,Andrias davidianus,Amphibia,Caudata,Critically Endangered,Decreasing,Unknown,Hunting,Habitat loss,Freshwater river,Asia,China,Yes,2004
Japanese Giant Salamander,Andrias japonicus,Amphibia,Caudata,Vulnerable,Decreasing,Unknown,Dams,Habitat loss,Freshwater river,Asia,Japan,Yes,2021
Axolotl,Ambystoma mexicanum,Amphibia,Caudata,Critically Endangered,Decreasing,<1000,Pollution,Invasive species,Freshwater lake,North America,Mexico,Yes,2019
Hellbender,Cryptobranchus alleganiensis,Amphibia,Caudata,Vulnerable,Decreasing,Unknown,Pollution,Habitat loss,Freshwater river,North America,USA,Yes,2021
Olm,Proteus anguinus,Amphibia,Caudata,Vulnerable,Decreasing,Unknown,Pollution,Habitat loss,Caves,Europe,Slovenia; Croatia,Yes,2008
Panamanian Golden Frog,Atelopus zeteki,Amphibia,Anura,Critically Endangered,Decreasing,0 (wild),Disease,Habitat loss,Montane forest,Central America,Panama,Yes,2019
Variable Harlequin Frog,Atelopus varius,Amphibia,Anura,Critically Endangered,Decreasing,Unknown,Disease,Climate change,Montane forest,Central America,Costa Rica; Panama,Yes,2019
Kihansi Spray Toad,Nectophrynoides asperginis,Amphibia,Anura,Extinct in the Wild,Stable,0 (wild),Dams,Disease,Wetland,Africa,Tanzania,Yes,2015
Wyoming Toad,Anaxyrus baxteri,Amphibia,Anura,Extinct in the Wild,Stable,0 (wild),Disease,Habitat loss,Wetland,North America,USA,Yes,2015
Golden Mantella,Mantella aurantiaca,Amphibia,Anura,Critically Endangered,Decreasing,Unknown,Habitat loss,Illegal wildlife trade,Tropical forest,Africa,Madagascar,Yes,2016
Lake Titicaca Frog,Telmatobius culeus,Amphibia,Anura,Endangered,Decreasing,Unknown,Pollution,Hunting,Freshwater lake,South America,Peru; Bolivia,Yes,2020
Mountain Chicken Frog,Leptodactylus fallax,Amphibia,Anura,Critically Endangered,Decreasing,<200,Disease,Hunting,Tropical forest,North America,Dominica; Montserrat,Yes,2017
Purple Frog,Nasikabatrachus sahyadrensis,Amphibia,Anura,Endangered,Decreasing,Unknown,Habitat loss,Agriculture,Tropical forest,Asia,India,Yes,2004
Malabar Tree Toad,Pedostibes tuberculosus,Amphibia,Anura,Endangered,Decreasing,Unknown,Habitat loss,Agriculture,Tropical forest,Asia,India,Yes,2004
Archey's Frog,Leiopelma archeyi,Amphibia,Anura,Critically Endangered,Decreasing,Unknown,Disease,Invasive species,Temperate forest,Oceania,New Zealand,Yes,2017
Southern Corroboree Frog,Pseudophryne corroboree,Amphibia,Anura,Critically Endangered,Decreasing,<50,Disease,Climate change,Montane,Oceania,Australia,Yes,2022
Northern Darwin's Frog,Rhinoderma rufum,Amphibia,Anura,Critically Endangered,Decreasing,Unknown (possibly extinct),Disease,Habitat loss,Temperate forest,South America,Chile,Yes,2018
Darwin's Frog,Rhinoderma darwinii,Amphibia,Anura,Endangered,Decreasing,Unknown,Disease,Deforestation,Temperate forest,South America,Chile; Argentina,Yes,2018
Table Mountain Ghost Frog,Heleophryne rosei,Amphibia,Anura,Critically Endangered,Decreasing,Unknown,Habitat loss,Invasive species,Montane,Africa,South Africa,Yes,2016
Lemur Leaf Frog,Agalychnis lemur,Amphibia,Anura,Critically Endangered,Decreasing,Unknown,Disease,Habitat loss,Tropical forest,Central America,Costa Rica; Panama,Yes,2020
Golden Poison Frog,Phyllobates terribilis,Amphibia,Anura,Endangered,Decreasing,Unknown,Deforestation,Agriculture,Tropical forest,South America,Colombia,Yes,2017
Gardiner's Seychelles Frog,Sechellophryne gardineri,Amphibia,Anura,Vulnerable,Stable,Unknown,Climate change,Habitat loss,Tropical forest,Africa,Seychelles,Yes,2013
Sagalla Caecilian,Boulengerula niedeni,Amphibia,Gymnophiona,Endangered,Decreasing,Unknown,Habitat loss,Agriculture,Montane forest,Africa,Kenya,Yes,2013
Whale Shark,Rhincodon typus,Chondrichthyes,Orectolobiformes,Endangered,Decreasing,Unknown,Overfishing,Vessel strikes,Marine - open ocean,Worldwide,Worldwide,No,2016
Great Hammerhead,Sphyrna mokarran,Chondrichthyes,Carcharhiniformes,Critically Endangered,Decreasing,Unknown,Overfishing,Bycatch,Marine - coastal,Worldwide,Worldwide,No,2018
Scalloped Hammerhead,Sphyrna lewini,Chondrichthyes,Carcharhiniformes,Critically Endangered,Decreasing,Unknown,Overfishing,Bycatch,Marine - coastal,Worldwide,Worldwide,No,2018
Oceanic Whitetip Shark,Carcharhinus longimanus,Chondrichthyes,Carcharhiniformes,Critically Endangered,Decreasing,Unknown,Bycatch,Overfishing,Marine - open ocean,Worldwide,Worldwide,No,2018
Shortfin Mako,Isurus oxyrinchus,Chondrichthyes,Lamniformes,Endangered,Decreasing,Unknown,Overfishing,Bycatch,Marine - open ocean,Worldwide,Worldwide,No,2018
Basking Shark,Cetorhinus maximus,Chondrichthyes,Lamniformes,Endangered,Decreasing,Unknown,Bycatch,Vessel strikes,Marine - open ocean,Worldwide,Worldwide,No,2018
Great White Shark,Carcharodon carcharias,Chondrichthyes,Lamniformes,Vulnerable,Unknown,Unknown,Bycatch,Overfishing,Marine - coastal,Worldwide,Worldwide,No,2018
Angelshark,Squatina squatina,Chondrichthyes,Squatiniformes,Critically Endangered,Decreasing,Unknown,Bycatch,Habitat loss,Marine - coastal,Europe,Spain; Morocco,No,2019
Ganges Shark,Glyphis gangeticus,Chondrichthyes,Carcharhiniformes,Critically Endangered,Decreasing,Unknown,Overfishing,Pollution,Freshwater river,Asia,India,Yes,2020
Pondicherry Shark,Carcharhinus hemiodon,Chondrichthyes,Carcharhiniformes,Critically Endangered,Decreasing,Unknown,Overfishing,Habitat loss,Marine - coastal,Asia,India; Sri Lanka,No,2020
Largetooth Sawfish,Pristis pristis,Chondrichthyes,Rhinopristiformes,Critically Endangered,Decreasing,Unknown,Bycatch,Habitat loss,Marine - coastal,Worldwide,Worldwide,No,2013
Smalltooth Sawfish,Pristis pectinata,Chondrichthyes,Rhinopristiformes,Critically Endangered,Decreasing,Unknown,Bycatch,Habitat loss,Marine - coastal,North America,USA; Bahamas,No,2013
